site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_5,us_hx8,upstream,riffle,xs2,39.570202,0.009120354,0.472,0.282,6.061,1.777,13.576,12.842,39.155,39.155
site_5,us_hx8,upstream,pool,xs1,39.570202,0.009120354,1.097,0.646,5.372,3.975,7.565,4.897,38.787,39.155
site_5,hx8ds_9us,downstream,riffle,xs1,39.761885,0.01071629,0.758,0.476,6.204,3.406,9.972,8.185,38.948,38.822
site_5,hx8ds_9us,downstream,pool,xs2,39.761885,0.01071629,0.828,0.495,6.007,3.433,9.432,7.255,39.32,38.505
site_5,hx8ds_9us,downstream,riffle,xs3,39.761885,0.01071629,0.59,0.31,5.985,2.633,12.295,10.143,38.613,38.516
site_5,hx8ds_9us,downstream,pool,xs4,39.761885,0.01071629,0.826,0.476,4.227,2.18,10.247,5.118,37.918,37.828
site_5,ds_hx9,downstream,pool ,xs1,39.966759,0.01071629,0.993,0.475,4.015,2.338,8.343,4.043,37.736,37.798
site_5,ds_hx9,downstream,riffle,xs2,39.966759,0.01071629,0.848,0.359,4.388,1.686,10.078,5.175,37.237,37.153
site_5,ds_hx9,downstream,pool ,xs3,39.966759,0.01071629,1.341,0.822,7.326,6.496,7.252,5.463,36.427,36.427
site_5,ds_hx9,downstream,riffle,xs4,39.966759,0.01071629,0.636,0.309,4.342,1.641,15.291,6.827,36.008,36.126
site_5,ds_hx9,downstream,pool ,xs5,39.966759,0.01071629,1.184,0.42,4.264,3.267,8.214,3.601,36.101,36.093
site_6,us_hx10,upstream,pool,xs7,39.966759,0.01071629,1.404,0.829,4.327,4.391,6.672,3.082,36.37,36.216
site_6,us_hx10,upstream,riffle,xs6,39.966759,0.01071629,0.704,0.364,7.171,2.953,12.452,10.186,36.268,35.96
site_6,us_hx10,upstream,pool,xs5,39.966759,0.01071629,0.789,0.376,3.135,1.562,11.142,3.973,35.841,35.411
site_6,us_hx10,upstream,riffle,xs4,39.966759,0.01071629,0.383,0.185,2.884,0.634,22.953,7.529,35.282,35.325
site_6,us_hx10,upstream,pool,xs3,39.966759,0.01071629,0.668,0.374,3.515,1.718,13.216,5.261,35.36,35.698
site_6,us_hx10,upstream,riffle,xs2,39.966759,0.01071629,0.467,0.26,4.202,1.297,18.169,8.997,35.328,35.673
site_6,us_hx10,upstream,riffle,xs1,39.966759,0.01071629,0.619,0.356,3.169,1.368,15.032,5.119,35.224,35.641
site_6,ds_hx10,downstream,pool,xs1,40.077652,0.01228825,1.099,0.578,4.074,3.051,7.905,3.707,35.202,35.182
site_6,ds_hx10,downstream,riffle,xs2,40.077652,0.01228825,0.382,0.218,3.052,0.689,22.743,7.989,35.238,35.1
