Long,Lat,Desc,pos,bkf_W,bkf_D
145.467875,-38.05361009,up_xs2_riffle,,18.90834326,-2.443
145.4678867,-38.05360071,up_xs2_riffle,,20.36717084,-1.22
145.4679048,-38.05359028,up_xs2_riffle,,22.32994297,0.011
145.4679228,-38.05357471,up_xs2_riffle,,24.65623501,0.469
145.4681282,-38.05394175,up_xs1_pool,,0,0
145.4681419,-38.05393141,up_xs1_pool,,1.661027694,-1.204
145.4681566,-38.05392036,up_xs1_pool,,3.444439142,-2.282
145.468171,-38.05390835,up_xs1_pool,,5.277390358,-3.672
145.4681785,-38.05390147,up_xs1_pool,,6.282146448,-4.298
145.4681843,-38.05389734,up_xs1_pool,,6.968123779,-4.715
145.468189,-38.05389768,up_xs1_pool,bkf,7.237022384,-4.996
145.4681906,-38.05389166,up_xs1_pool,bkf_WL,7.802345353,-5.352
145.4681916,-38.05389102,up_xs1_pool,,7.915913213,-5.757
145.4681962,-38.05388794,up_xs1_pool,,8.44401575,-5.961
145.4682037,-38.05388283,up_xs1_pool,,9.30880755,-6.119
145.468211,-38.0538768,up_xs1_pool,bkf_M,10.23824839,-6.15
145.4682169,-38.05387215,up_xs1_pool,,10.97016158,-5.998
145.4682218,-38.05386812,up_xs1_pool,bkf_WL,11.59054321,-5.801
145.4682259,-38.0538658,up_xs1_pool,,12.02542016,-5.287
145.4682306,-38.05386183,up_xs1_pool,bkf,12.62951274,-4.996
145.4682346,-38.05385761,up_xs1_pool,,13.20906673,-4.912
145.4682375,-38.05385448,up_xs1_pool,,13.62978375,-4.629
145.4682484,-38.0538464,up_xs1_pool,,14.94216825,-3.877
145.4682576,-38.05383802,up_xs1_pool,,16.17097489,-2.767
145.4682806,-38.05382198,up_xs1_pool,,18.86018033,-1.415
145.4682988,-38.05380868,up_xs1_pool,,21.03102834,0.304
145.468395,-38.05394703,down_xs1_riffle,,0,0
145.4683759,-38.05394622,down_xs1_riffle,,1.678182946,-1.05
145.4683644,-38.05394391,down_xs1_riffle,,2.708886856,-1.843
145.468352,-38.05394357,down_xs1_riffle,,3.794686417,-2.509
145.4683386,-38.05394726,down_xs1_riffle,,4.950156563,-3.137
145.4683291,-38.05394834,down_xs1_riffle,,5.786021258,-3.846
145.4683154,-38.05395088,down_xs1_riffle,,6.995029664,-3.97
145.4683043,-38.05395313,down_xs1_riffle,,7.990955137,-4.046
145.4683016,-38.05395319,down_xs1_riffle,,8.220798258,-4.252
145.4682945,-38.05395478,down_xs1_riffle,,8.860182504,-4.146
145.468288,-38.05395568,down_xs1_riffle,,9.43511452,-4.425
145.468288,-38.05395568,down_xs1_riffle,,9.721970634,-4.384
145.468288,-38.05395568,down_xs1_riffle,bkf,10.18537,-4.667
145.468288,-38.05395568,down_xs1_riffle,,10.37196862,-4.804
145.468288,-38.05395568,down_xs1_riffle,bkf_WL,11.31687678,-4.984
145.468288,-38.05395568,down_xs1_riffle,,11.43618066,-5.077
145.468288,-38.05395568,down_xs1_riffle,,11.7106972,-5.13
145.468288,-38.05395568,down_xs1_riffle,,11.92959869,-5.139
145.468288,-38.05395568,down_xs1_riffle,bkf_M,12.14797337,-5.246
145.468288,-38.05395568,down_xs1_riffle,,12.33682751,-5.153
145.468288,-38.05395568,down_xs1_riffle,,12.53833119,-5.186
145.468288,-38.05395568,down_xs1_riffle,,12.82569815,-5.149
145.468288,-38.05395568,down_xs1_riffle,,13.04471081,-5.069
145.468288,-38.05395568,down_xs1_riffle,bkf_WL,13.13324503,-4.966
145.468288,-38.05395568,down_xs1_riffle,,13.49360634,-4.802
145.468288,-38.05395568,down_xs1_riffle,bkf,13.53824143,-4.667
145.468288,-38.05395568,down_xs1_riffle,,14.23560002,-4.279
145.468288,-38.05395568,down_xs1_riffle,,14.87550325,-3.871
145.4682158,-38.0539705,down_xs1_riffle,,15.94334821,-3.407
145.468204,-38.0539737,down_xs1_riffle,,17.01848877,-2.767
145.4681978,-38.05397523,down_xs1_riffle,,17.58282483,-2.489
145.4681829,-38.05397833,down_xs1_riffle,,18.93121496,-0.674
145.4681692,-38.05398099,down_xs1_riffle,,20.17104425,0.224
145.4683982,-38.05403339,down_xs2_pool,,0,0
145.4683698,-38.05403236,down_xs2_pool,,2.494098033,-1.877
145.4683506,-38.05403261,down_xs2_pool,,4.184038719,-3.137
145.4683386,-38.05403267,down_xs2_pool,,5.236004679,-3.722
145.4683281,-38.0540346,down_xs2_pool,,6.157524259,-4.473
145.4683239,-38.05403447,down_xs2_pool,,6.520952231,-4.995
145.4683211,-38.05403413,down_xs2_pool,bkf,6.770779866,-5.3
145.4683161,-38.05403444,down_xs2_pool,,7.208831389,-5.566
145.4683115,-38.05403309,down_xs2_pool,,7.61055609,-5.927
145.4683063,-38.05403393,down_xs2_pool,,8.070284258,-6.337
145.4683028,-38.0540352,down_xs2_pool,,8.376862241,-6.73
145.4682982,-38.05403542,down_xs2_pool,,8.782797106,-6.816
145.4682942,-38.05403444,down_xs2_pool,,9.125877492,-6.646
145.4682907,-38.05403423,down_xs2_pool,,9.436259481,-6.88
145.4682864,-38.05403352,down_xs2_pool,,9.816577866,-6.696
145.4682803,-38.0540331,down_xs2_pool,,10.34992005,-6.564
145.468276,-38.05403307,down_xs2_pool,,10.72892655,-6.45
145.4682712,-38.05403367,down_xs2_pool,,11.14407417,-6.371
145.4682692,-38.05403386,down_xs2_pool,bkf,11.32350145,-5.3
145.4682602,-38.05403408,down_xs2_pool,,12.11614398,-4.771
145.4682581,-38.05403114,down_xs2_pool,,12.29808981,-4.289
145.4682576,-38.05403424,down_xs2_pool,,12.33659973,-4.056
145.468251,-38.0540356,down_xs2_pool,,12.92012028,-3.328
145.4682487,-38.05403753,down_xs2_pool,,13.12636682,-3.234
145.4682413,-38.05403802,down_xs2_pool,,13.77993763,-2.344
145.4682339,-38.05403863,down_xs2_pool,,14.43425377,-1.747
145.4682197,-38.05403877,down_xs2_pool,,15.67833059,-0.59
145.4683923,-38.0541346,down_xs3_riffle,,0,0
145.4683847,-38.05413293,down_xs3_riffle,,0.693193335,-0.307
145.4683744,-38.05413182,down_xs3_riffle,,1.600223109,-0.738
145.468365,-38.05412953,down_xs3_riffle,,2.4565374,-1.273
145.4683573,-38.05412883,down_xs3_riffle,,3.133848273,-1.782
145.4683489,-38.05412841,down_xs3_riffle,,3.869643007,-2.491
145.468342,-38.05412747,down_xs3_riffle,,4.486821258,-2.971
145.4683346,-38.05412622,down_xs3_riffle,,5.147167959,-3.487
145.4683298,-38.05412595,down_xs3_riffle,,5.571347144,-3.793
145.4683238,-38.05412584,down_xs3_riffle,,6.089898029,-4.394
145.4683149,-38.05412333,down_xs3_riffle,,6.90147035,-4.793
145.4683065,-38.05412313,down_xs3_riffle,,7.634802421,-5.026
145.4683,-38.05412175,down_xs3_riffle,,8.223132311,-5.125
145.4682966,-38.05412166,down_xs3_riffle,,8.518471987,-5.256
145.4682947,-38.05412042,down_xs3_riffle,bkf,8.708543162,-5.523
145.4682917,-38.05412161,down_xs3_riffle,bkf_WL,8.941421867,-5.726
145.4682882,-38.05411976,down_xs3_riffle,,9.280371598,-5.917
145.4682848,-38.05411875,down_xs3_riffle,,9.591895433,-6.023
145.4682816,-38.05411826,down_xs3_riffle,,9.880257588,-6.083
145.4682788,-38.05411725,down_xs3_riffle,bkf_M,10.14680487,-6.128
145.4682754,-38.05411723,down_xs3_riffle,bkf_M,10.43712163,-6.116
145.4682736,-38.05411671,down_xs3_riffle,,10.6011789,-6.076
145.4682695,-38.05411634,down_xs3_riffle,,10.96386579,-5.922
145.4682655,-38.05411567,down_xs3_riffle,bkf_WL,11.31950639,-5.707
145.4682634,-38.05411576,down_xs3_riffle,bkf,11.49889669,-5.523
145.4682621,-38.05411607,down_xs3_riffle,,11.60927164,-5.222
145.4682589,-38.05411582,down_xs3_riffle,,11.89131957,-4.8
145.4682552,-38.05411383,down_xs3_riffle,,12.24464344,-4.385
145.4682512,-38.05411325,down_xs3_riffle,,12.60531432,-3.838
145.4682453,-38.0541121,down_xs3_riffle,,13.1351011,-2.41
145.4682383,-38.05411206,down_xs3_riffle,,13.74212458,-1.579
145.4682317,-38.05411108,down_xs3_riffle,,14.33363558,-0.913
145.4682266,-38.05411104,down_xs3_riffle,,14.7759579,-0.132
145.4683636,-38.054223,down_xs4_pool,hist_left,0,0
145.4683548,-38.05421963,down_xs4_pool,,0.859488802,-0.164
145.4683465,-38.05421859,down_xs4_pool,,1.577770579,-0.541
145.4683388,-38.05421692,down_xs4_pool,,2.276520591,-0.989
145.4683328,-38.05421533,down_xs4_pool,,2.835663238,-1.48
145.4683241,-38.05421258,down_xs4_pool,,3.651971112,-2.131
145.4683151,-38.05421183,down_xs4_pool,,4.431686925,-2.632
145.468308,-38.05421012,down_xs4_pool,,5.083001574,-3.237
145.4683023,-38.05420863,down_xs4_pool,,5.610619395,-3.553
145.468298,-38.05420757,down_xs4_pool,,6.002886806,-3.778
145.4682921,-38.05420692,down_xs4_pool,,6.519187143,-4.398
145.468289,-38.05420592,down_xs4_pool,,6.813515539,-5.004
145.4682868,-38.05420444,down_xs4_pool,,7.044686224,-5.079
145.4682826,-38.05420881,down_xs4_pool,bkf,7.27832467,-5.449
145.4682831,-38.05420366,down_xs4_pool,,7.384916046,-5.588
145.4682781,-38.05420295,down_xs4_pool,,7.826015653,-5.842
145.4682746,-38.05420292,down_xs4_pool,bkf_WL,8.118051798,-5.876
145.4682713,-38.05420122,down_xs4_pool,,8.450241713,-6.285
145.4682695,-38.0542008,down_xs4_pool,,8.612327967,-6.556
145.4682675,-38.05420011,down_xs4_pool,,8.80923243,-6.435
145.4682637,-38.05419955,down_xs4_pool,,9.141113773,-6.601
145.4682569,-38.05419788,down_xs4_pool,bkf_M,9.771157762,-6.547
145.4682485,-38.05419592,down_xs4_pool,,10.53833217,-6.445
145.468242,-38.05419604,down_xs4_pool,,11.08150482,-5.857
145.4682365,-38.05419555,down_xs4_pool,bkf_WL,11.5606108,-5.481
145.4682334,-38.05419622,down_xs4_pool,bkf,11.80668307,-5.449
145.4682334,-38.05419161,down_xs4_pool,,11.94227269,-5.234
145.4682291,-38.05419,down_xs4_pool,,12.35636229,-5.066
145.4682231,-38.05418891,down_xs4_pool,,12.89464172,-4.64
145.4682158,-38.05418549,down_xs4_pool,,13.62359075,-4.188
145.468213,-38.05418488,down_xs4_pool,,13.87758513,-3.361
145.468204,-38.05418325,down_xs4_pool,,14.68133226,-2.895
145.4681913,-38.0541806,down_xs4_pool,,15.83557517,-1.975
145.4681799,-38.05417786,down_xs4_pool,,16.87812943,-1.239
145.4681735,-38.05417515,down_xs4_pool,,17.50542522,-0.719
145.4681657,-38.05417329,down_xs4_pool,,18.22331721,-0.222
145.4683108,-38.05430771,down_xs5_riffle,,0,0
145.4683073,-38.05430572,down_xs5_riffle,,0.374318047,-0.536
145.4682971,-38.05430311,down_xs5_riffle,,1.302120194,-1.33
145.468295,-38.05430333,down_xs5_riffle,,1.466348185,-1.535
145.4682935,-38.05430338,down_xs5_riffle,,1.59075831,-1.526
145.468287,-38.05430184,down_xs5_riffle,,2.187804836,-2.136
145.4682803,-38.05430021,down_xs5_riffle,,2.797566264,-2.559
145.4682735,-38.0543004,down_xs5_riffle,,3.37304284,-2.738
145.4682645,-38.05429673,down_xs5_riffle,,4.24117024,-3.244
145.4682596,-38.05429397,down_xs5_riffle,,4.740524233,-3.638
145.468254,-38.05429172,down_xs5_riffle,,5.29305904,-4.037
