site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_5,ds_hx9,downstream,39.966759,0.01071629,riffle,xs2,0.848,0.359,4.388,1.686,10.078,5.175,37.237,37.153,20.912,0.191,,
site_5,ds_hx9,downstream,39.966759,0.01071629,pool ,xs3,1.341,0.822,7.326,6.496,7.252,5.463,36.427,36.427,7.316,0.000,,28.228
site_5,ds_hx9,downstream,39.966759,0.01071629,riffle,xs4,0.636,0.309,4.342,1.641,15.291,6.827,36.008,36.126,15.896,0.189,23.212,
site_5,ds_hx9,downstream,39.966759,0.01071629,pool ,xs5,1.184,0.42,4.264,3.267,8.214,3.601,36.101,36.093,24.446,0.327,,40.342
site_6,us_hx10,upstream,39.966759,0.01071629,pool,xs7,1.404,0.829,4.327,4.391,6.672,3.082,36.37,36.216,,,,
site_6,us_hx10,upstream,39.966759,0.01071629,riffle,xs6,0.704,0.364,7.171,2.953,12.452,10.186,36.268,35.96,15.670,0.128,,
site_6,us_hx10,upstream,39.966759,0.01071629,pool,xs5,0.789,0.376,3.135,1.562,11.142,3.973,35.841,35.411,24.075,0.665,39.745,
site_6,us_hx10,upstream,39.966759,0.01071629,riffle,xs4,0.383,0.185,2.884,0.634,22.953,7.529,35.282,35.325,13.814,0.434,,37.889
site_6,us_hx10,upstream,39.966759,0.01071629,pool,xs3,0.668,0.374,3.515,1.718,13.216,5.261,35.36,35.698,10.540,0.000,24.354,
site_6,us_hx10,upstream,39.966759,0.01071629,riffle,xs2,0.467,0.26,4.202,1.297,18.169,8.997,35.328,35.673,4.650,0.000,,15.190
site_6,us_hx10,upstream,39.966759,0.01071629,riffle,xs1,0.619,0.356,3.169,1.368,15.032,5.119,35.224,35.641,17.732,0.282,22.382,
site_6,ds_hx10,downstream,40.077652,0.01228825,pool,xs1,1.099,0.578,4.074,3.051,7.905,3.707,35.202,35.182,,,,
site_6,ds_hx10,downstream,40.077652,0.01228825,riffle,xs2,0.382,0.218,3.052,0.689,22.743,7.989,35.238,35.1,8.859,0.452,,
site_6,ds_hx10,downstream,40.077652,0.01228825,pool,xs3,1.069,0.6,4.21,2.89,8.127,3.938,34.874,34.875,36.718,0.000,45.577,
site_6,ds_hx10,downstream,40.077652,0.01228825,riffle,xs4,0.356,0.202,3.862,0.892,23.694,10.849,34.806,34.746,10.626,1.129,,47.344
site_6,ds_hx10,downstream,40.077652,0.01228825,pool,xs5,1.428,0.774,6.312,4.845,6.524,4.42,34.974,34.974,5.870,0.000,16.496,
site_6,ds_hx10,downstream,40.077652,0.01228825,riffle,xs6,0.405,0.182,4.043,2.069,23.002,9.984,34.62,34.904,43.519,0.000,,49.389
